WARNING 2025-05-22 15:49:36,024 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,024 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,028 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,030 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,076 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,078 log Not Found: /static/rest_framework/css/default.css
WARNING 2025-05-22 15:49:36,079 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,091 log Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2025-05-22 15:49:36,092 log Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2025-05-22 15:49:36,095 log Not Found: /static/rest_framework/js/default.js
WARNING 2025-05-22 15:49:36,096 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,098 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,104 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:49:36,105 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
